iso1,iso2,dist,weeks,pair_location
103131,103132,0,0,Same
103131,103716,9229,2.6,Same
103131,104170,9868,4.4,Same
103131,104646,742,6.4,Same
103131,105046,9569,9,Same
103131,106175,9583,16,Same
103131,106180,1002,16,Same
103131,106221,1002,16.7,Same
103131,106847,9870,20.3,Same
103131,106859,8764,20.4,Same
103131,107400,9361,26.9,Same
103131,107702,9275,30.4,Same
103131,107830,355,32.1,Same
103131,108059,9633,34.6,Same
103131,108242,355,36.7,Same
103131,108243,355,36.7,Same
103131,108297,355,37.4,Same
103131,108372,355,38.4,Same
103131,108386,356,39.9,Same
103131,108396,355,40.6,Same
103131,108403,355,41.1,Same
103131,108404,355,41.3,Same
103131,108410,9463,41.9,Same
103131,108550,9150,53.9,Same
103131,108594,9149,57.7,Same
103131,108620,9846,60.4,Same
103131,109463,9631,67.4,Same
103131,109575,9992,70.1,Same
103131,109644,9991,71.3,Same
103131,109794,9781,75.6,Same
103131,110274,9220,83.7,Same
103131,110517,9499,88.4,Same
103131,110687,9553,92,Same
103131,112036,9418,109.6,Same
103131,112163,2794,110.3,Same
103131,112311,9875,113.4,Same
103131,112334,9265,115,Same
103131,113298,9593,126.9,Same
103131,113443,9389,131.3,Same
103131,113974,9362,139.6,Same
103131,114233,9555,144.3,Same
103131,115359,8665,154.3,Same
103131,115514,9500,154.9,Same
103131,116433,9459,158.1,Same
103131,117956,9689,172.9,Same
103131,117990,9541,174,Same
103131,117991,8840,173.9,Same
103131,118002,9677,174.1,Same
103131,118062,9691,174.7,Same
103131,118071,9599,174.9,Same
103131,118802,9677,184.6,Same
103131,120547,10207,195.3,Same
103131,120784,9462,198.9,Same
103131,120896,9262,200.6,Same
103131,60308,1916,336.1,Same
103131,60695,10263,328.3,Same
103131,60726,10245,327.4,Same
103131,60733,10263,327.4,Same
103131,60737,1958,327.3,Same
103131,60739,10271,327.1,Same
103131,60826,10285,326,Same
103131,60827,10273,325.9,Same
103131,60883,10260,325.1,Same
103131,60914,10276,324.6,Same
103131,60930,10282,324.3,Same
103131,60952,10233,323.9,Same
103131,60953,9886,323.9,Same
103131,61157,1953,321.9,Same
103131,61271,9527,320.4,Same
103131,61918,1933,313,Same
103131,63004,1951,302.1,Same
103131,63770,9984,293.3,Same
103131,64476,7794,272.3,Same
103131,64602,9738,268,Same
103131,64631,9777,267.3,Same
103131,65002,6786,257.4,Same
103131,65516,9443,245.7,Same
103131,65587,9606,241.3,Same
103131,65614,9333,240,Same
103131,65830,334,231.1,Same
103131,65858,9950,230.1,Same
103131,65881,9988,229.3,Same
103131,65885,10287,229,Same
103131,65889,9983,228.9,Same
103131,65931,9680,227.3,Same
103131,65962,8959,225.3,Same
103131,66013,9413,221.3,Same
103131,66044,7038,219.4,Same
103131,66181,9970,211.6,Same
103131,66470,9190,203.6,Same
103131,66673,9219,200.6,Same
103131,66721,10286,199.9,Same
103131,66722,9281,200,Same
103131,66761,9453,198.6,Same
103131,66762,9449,198.6,Same
103131,66778,9453,198.4,Same
103131,66793,9453,198,Same
103131,66840,9453,196.9,Same
103131,66997,9596,191.9,Same
103131,67202,9883,179.4,Same
103131,67403,9669,173.1,Same
103131,67467,9883,172.1,Same
103131,67468,9453,172.3,Same
103131,67469,7980,172.1,Same
103131,67470,6649,172.3,Same
103131,67480,9453,172.1,Same
103131,67503,9452,171.9,Same
103131,67635,9931,169.3,Same
103131,67641,9932,169.1,Same
103131,67645,9932,169,Same
103131,67713,9428,167,Same
103131,67756,9410,166,Same
103131,67759,9410,166,Same
103131,67762,9410,166,Same
103131,67814,9456,165.4,Same
103131,67865,9932,164.3,Same
103131,68009,9250,162.3,Same
103131,68745,9701,155.4,Same
103131,68879,9450,154.1,Same
103131,69206,8968,151.6,Same
103131,69564,8968,149.3,Same
103131,69687,8968,147.7,Same
103131,69728,8968,147.4,Same
103131,70650,9961,135.1,Same
103131,70875,9292,125.1,Same
103131,71359,9497,119.3,Same
103131,75028,9427,95,Same
103131,77559,2736,80.9,Same
103131,77837,2855,77.9,Same
103131,77856,2851,77.7,Same
103131,77867,2832,77.6,Same
103131,77982,2840,76.7,Same
103131,77986,2850,76.6,Same
103131,78020,2845,76.4,Same
103131,78028,2710,76.4,Same
103131,78037,2842,76.1,Same
103131,78150,2849,75.4,Same
103131,79771,9732,69.9,Same
103131,80181,9855,69.1,Same
103131,80409,9345,68.4,Same
103131,81045,9353,66.6,Same
103131,82187,9523,62.7,Same
103131,84249,9761,56.3,Same
103131,84586,9333,55.1,Same
103131,84587,1944,55.1,Same
103131,84588,9339,55,Same
103131,84590,1938,55.3,Same
103131,84682,1932,55,Same
103131,84774,9350,54.6,Same
103131,84816,7740,54.6,Same
103131,84817,1917,54.6,Same
103131,84883,1934,54.3,Same
103131,84906,1921,54.1,Same
103131,84920,1933,54,Same
103131,85130,1932,53.7,Same
103131,85135,1933,53.6,Same
103131,85420,1886,53.1,Same
103131,85550,1932,52.7,Same
103131,85900,1934,52.3,Same
103131,85908,1934,52.3,Same
103131,87339,9090,50,Same
103131,88197,9366,47.9,Same
103131,89999,9355,43.7,Same
103131,92044,9980,37.7,Same
103131,92868,9921,36,Same
103131,96134,4318,24.1,Same
103132,103716,9229,2.6,Same
103132,104170,9868,4.4,Same
103132,104646,742,6.4,Same
103132,105046,9569,9,Same
103132,106175,9583,16,Same
103132,106180,1002,16,Same
103132,106221,1002,16.7,Same
103132,106847,9870,20.3,Same
103132,106859,8764,20.4,Same
103132,107400,9361,26.9,Same
103132,107702,9275,30.4,Same
103132,107830,355,32.1,Same
103132,108059,9633,34.6,Same
