Region,Country,Study,Site,Long_city,Lat_city
Eastern Africa,Ethiopia,BARNARDS,Site 1,38.72962307,9.04866276
Eastern Africa,Ethiopia,MBIRA,Site 2,42.1291694,9.306223011
Eastern Africa,Kenya,KWTRP,Site 3,39.9093,-3.5107
Eastern Africa,Kenya,NeoBAC,Site 4,36.83024387,-1.170958595
Eastern Africa,Kenya,NeoBAC,Site 5,36.80355013,-1.241129016
Eastern Africa,Malawi,MBIRA,Site 6A,35.02158851,-15.80256751
Eastern Africa,Malawi,MLW,Site 6B,35.01531193,-15.76694186
Eastern Africa,Rwanda,BARNARDS,Site 7,29.7507744,-2.103559011
Eastern Africa,Tanzania,MBIRA,Site 8,37.32744348,-3.319731869
Eastern Africa,Zambia,MBIRA,Site 9,28.32277301,-15.38732724
Eastern Africa,Zambia,SPINZ,Site 10,28.27497679,-15.41595042
Western Africa,Ghana,MBIRA,Site 11,-0.226387184,5.536714459
Western Africa,Nigeria,BARNARDS,Site 12,7.46178105,9.04083949
Western Africa,Nigeria,BARNARDS,Site 13,8.52424866,11.99865037
Southern Africa,Botswana,NIMBI,Site 14,25.92390061,-24.65664971
Southern Africa,South Africa,BARNARDS,Site 15A,18.61276236,-33.90943352
Southern Africa,South Africa,BabyGERMS,Site 16,25.56143845,-33.87933892
Southern Africa,South Africa,BabyGERMS,Site 17,28.23857377,-25.98344734
Southern Africa,South Africa,BabyGERMS,Site 18,29.7260115,-23.88043049
Southern Africa,South Africa,BabyGERMS,Site 19,26.6633642,-26.87849128
Southern Africa,South Africa,BabyGERMS,Site 20,31.89571051,-28.74005925
Southern Africa,South Africa,BabyGERMS,Site 21,30.97134622,-25.47702984
Southern Africa,South Africa,GBS,Site 22,28.0774479,-25.50333952
Southern Africa,South Africa,MBIRA,Site 15B,18.6129298,-33.91035555
Southern Asia,Bangladesh,BARNARDS,Site 23,91.80630545,22.32303465
Southern Asia,India,DH,Site 24,82.10538244,21.16153854
Southern Asia,Pakistan,BARNARDS,Site 25,73.05234763,33.7034213
