Region	Country	Study	Site	# genomes	Year of study	Temporal span (weeks)
Eastern Africa	All	-	-	1124	-	-
Eastern Africa	Ethiopia	BARNARDS	Site 1	94	2017	39
Eastern Africa	Ethiopia	MBIRA	Site 2	31	2021	30
Eastern Africa	Kenya	KWTRP	Site 3	167	2013 - 2023	537
Eastern Africa	Kenya	NeoBAC	Site 4	46	2021 - 2022	40
Eastern Africa	Kenya	NeoBAC	Site 5	20	2021 - 2022	60
Eastern Africa	Malawi	MBIRA	Site 6A	27	2020 - 2021	55
Eastern Africa	Malawi	MLW	Site 6B	362	2013 - 2020	377
Eastern Africa	Rwanda	BARNARDS	Site 7	15	2016 - 2017	79
Eastern Africa	Tanzania	MBIRA	Site 8	58	2021	39
Eastern Africa	Zambia	MBIRA	Site 9	19	2021	36
Eastern Africa	Zambia	SPINZ	Site 10	285	2015 - 2017	72
Western Africa	All	-	-	75	-	-
Western Africa	Ghana	MBIRA	Site 11	25	2020 - 2021	45
Western Africa	Nigeria	BARNARDS	Site 12	34	2016 - 2017	96
Western Africa	Nigeria	BARNARDS	Site 13	16	2017	41
Southern Africa	All	-	-	243	-	-
Southern Africa	Botswana	NIMBI-plus	Site 14	29	2022 - 2023	74
Southern Africa	South Africa	BARNARDS	Site 15A	12	2016 - 2017	77
Southern Africa	South Africa	Baby GERMS-SA	Site 16	34	2019 - 2020	51
Southern Africa	South Africa	Baby GERMS-SA	Site 17	27	2019 - 2020	45
Southern Africa	South Africa	Baby GERMS-SA	Site 18	23	2019 - 2020	47
Southern Africa	South Africa	Baby GERMS-SA	Site 19	22	2019 - 2020	47
Southern Africa	South Africa	Baby GERMS-SA	Site 20	21	2019 - 2020	49
Southern Africa	South Africa	Baby GERMS-SA	Site 21	13	2019 - 2020	34
Southern Africa	South Africa	GBS-COP	Site 22	49	2019 - 2020	69
Southern Africa	South Africa	MBIRA	Site 15B	13	2021	25
Southern Asia	All	-	-	81	-	-
Southern Asia	Bangladesh	BARNARDS	Site 23	17	2016 - 2017	89
Southern Asia	India	DH	Site 24	34	2019 - 2022	116
Southern Asia	Pakistan	BARNARDS	Site 25	30	2016 - 2017	81
Total	-	-	-	1523	-	-
