Cluster	Site	N isolates	ST	Duration (weeks)	Duration (days)
SPINZ_1	Site 10	188	ST307	31.4	220
MLW_8	Site 6B	87	ST39	35.6	249
MBIRA_13	Site 8	51	ST1741; ST1741-1LV	23.4	164
BARNARDS_6	Site 1	32	ST35	11.1	78
NeoBAC_4	Site 4	29	ST6775	6.9	48
BARNARDS_7	Site 1	26	ST37	7.9	55
MLW_12	Site 6B	23	ST14	15.7	110
SPINZ_2	Site 10	20	ST2004	8.3	58
NIMBI_1	Site 14	17	ST1414	4.1	29
BabyGERMS_10	Site 16	16	ST152	11.4	80
MLW_11	Site 6B	13	ST35	3.3	23
MBIRA_7	Site 2	12	ST20	7	49
NeoBAC_2	Site 4	12	ST14	5.7	40
MLW_33	Site 6B	11	ST15	9.3	65
MLW_25	Site 6B	11	ST1552	6.4	45
NeoBAC_5	Site 5	11	ST14	6.1	43
MLW_13	Site 6B	11	ST584	4	28
KWTRP_19	Site 3	11	ST17	3.1	22
GBS_6	Site 22	10	ST39	9.9	69
SPINZ_8	Site 10	9	ST307	11.1	78
SPINZ_9	Site 10	9	ST983	3.6	25
BARNARDS_21	Site 25	8	ST15	9.1	64
MBIRA_8	Site 2	8	ST29	7.4	52
MLW_7	Site 6B	8	ST14	6.1	43
KWTRP_3	Site 3	8	ST17	4.7	33
KWTRP_15	Site 3	8	ST3247	2.6	18
BabyGERMS_17	Site 17	7	ST405	7.6	53
MLW_35	Site 6B	7	ST45	6.3	44
BARNARDS_5	Site 1	7	ST985	5.4	38
MLW_2	Site 6B	7	ST340	5.1	36
MLW_34	Site 6B	7	ST29	4.6	32
MLW_26	Site 6B	7	ST101	3.6	25
KWTRP_7	Site 3	7	ST14	3.3	23
MLW_3	Site 6B	6	ST340	7.9	55
DH_3	Site 24	6	ST11	5.3	37
SPINZ_5	Site 10	6	ST307	2.9	20
DH_1	Site 24	6	ST1540	<=1	7
MBIRA_2	Site 11	5	ST307	10.7	75
MBIRA_3	Site 11	5	ST101	6.9	48
MLW_1	Site 6B	5	ST372	3.9	27
BabyGERMS_2	Site 20	5	ST307	3.6	25
BARNARDS_4	Site 1	5	ST218	2.7	19
MLW_15	Site 6B	5	ST35	2.7	19
SPINZ_3	Site 10	5	ST985	2.1	15
KWTRP_10	Site 3	5	ST1741	1.9	13
DH_2	Site 24	5	ST1263	1.6	11
BARNARDS_1	Site 23	4	ST14	7.4	52
MLW_18	Site 6B	4	ST25	6.4	45
MBIRA_4	Site 9	4	ST5856	5	35
MLW_31	Site 6B	4	ST307	4.7	33
KWTRP_14	Site 3	4	ST29	4.3	30
BabyGERMS_20	Site 18	4	ST17	4	28
MLW_9	Site 6B	4	ST25	3.3	23
MLW_20	Site 6B	4	ST35	2.1	15
BabyGERMS_14	Site 16	4	ST307	2	14
BabyGERMS_23	Site 19	4	ST39	1.6	11
SPINZ_11	Site 10	4	ST307	<=1	7
MLW_28	Site 6B	3	ST45	5.3	37
BARNARDS_16	Site 12	3	ST464	3.7	26
BARNARDS_3	Site 1	3	ST37	3.6	25
