Predictor	AMR	AMR + Site	AMR + Site + ST	AMR + Site + ST + K	AMR + K	AMR + Site + K	AMR + ST + K	AMR + Site + ST + O	AMR + O	AMR + Site + O	AMR + ST + O
ESBL+	2.8 [1.4,5.6], p=0.0007	2.5 [1.3,4.9], p=0.0062	2.2 [1.1,4.3], p=0.0264	2.1 [1.0,4.3], p=0.0378	2.7 [1.4,5.3], p=0.0021	2.3 [1.1,4.6], p=0.0159	2.4 [1.2,4.8], p=0.0103	2.2 [1.1,4.5], p=0.0242	2.7 [1.4,5.3], p=0.0020	2.4 [1.2,4.7], p=0.0118	2.4 [1.2,4.8], p=0.0081
CP+	1.8 [1.1,3.0], p=0.0212	2.1 [1.0,4.1], p=0.0416	2.0 [1.0,4.1], p=0.0510	2.2 [1.1,4.4], p=0.0336	1.8 [1.1,3.0], p=0.0309	2.1 [1.0,4.1], p=0.0452	2.1 [1.2,3.5], p=0.0089	2.1 [1.1,4.3], p=0.0415	1.8 [1.1,2.9], p=0.0283	1.9 [1.0,3.9], p=0.0660	2.1 [1.3,3.6], p=0.0056
Site 10	-	0.7 [0.3,1.5], p=0.3860	0.8 [0.3,1.7], p=0.4820	0.7 [0.3,1.7], p=0.4370	-	0.7 [0.3,1.6], p=0.4290	-	0.7 [0.3,1.7], p=0.4480	-	0.7 [0.3,1.5], p=0.3010	-
Site 3	-	0.5 [0.3,1.0], p=0.0464	0.5 [0.3,1.0], p=0.0409	0.5 [0.3,0.9], p=0.0348	-	0.6 [0.3,1.0], p=0.0590	-	0.5 [0.3,1.0], p=0.0375	-	0.5 [0.3,1.0], p=0.0510	-
Site 1	-	2.2 [0.9,5.6], p=0.0990	2.1 [0.8,5.6], p=0.1530	1.9 [0.7,5.1], p=0.2360	-	2.3 [0.9,5.9], p=0.0930	-	1.9 [0.7,5.1], p=0.2320	-	2.1 [0.8,5.3], p=0.1280	-
Site 8	-	0.5 [0.1,2.9], p=0.3930	0.1 [0.0,1.9], p=0.0590	0.1 [0.0,1.4], p=0.0342	-	0.5 [0.1,2.8], p=0.3590	-	0.1 [0.0,1.9], p=0.0630	-	0.5 [0.1,2.9], p=0.3980	-
Site 22	-	0.9 [0.4,2.1], p=0.7540	0.7 [0.3,1.8], p=0.4970	0.8 [0.3,1.9], p=0.5530	-	0.9 [0.3,2.2], p=0.7820	-	0.8 [0.3,2.0], p=0.6610	-	0.9 [0.3,2.1], p=0.7550	-
Site 4	-	2.2 [0.5,10.2], p=0.3150	2.0 [0.4,9.9], p=0.3840	2.1 [0.4,10.1], p=0.3790	-	1.8 [0.4,8.8], p=0.4490	-	2.0 [0.4,9.6], p=0.4060	-	2.2 [0.5,10.2], p=0.3150	-
Site 12	-	0.5 [0.2,1.4], p=0.1620	0.6 [0.2,1.7], p=0.3500	0.6 [0.2,1.8], p=0.3640	-	0.5 [0.2,1.4], p=0.1970	-	0.6 [0.2,1.7], p=0.2980	-	0.5 [0.2,1.4], p=0.1740	-
