iso1,iso2,dist,weeks,pair_location,L1,L2
ERR6349916,ERR6349917,72,0.2857142857142857,Same,ERR6349916,ERR6349917
ERR6349916,ERR6349919,18313,48.142857142857146,Same,ERR6349916,ERR6349919
ERR6349916,ERR6349920,18314,48.714285714285715,Same,ERR6349916,ERR6349920
ERR6349916,ERR6349921,2,18.428571428571427,Same,ERR6349916,ERR6349921
ERR6349916,ERR6349922,7,20.857142857142858,Same,ERR6349916,ERR6349922
ERR6349916,ERR6349923,8,5.714285714285714,Same,ERR6349916,ERR6349923
ERR6349916,ERR6349924,8,8.857142857142858,Same,ERR6349916,ERR6349924
ERR6349916,ERR6349925,7,8.285714285714286,Same,ERR6349916,ERR6349925
ERR6349916,ERR6349926,6,16.571428571428573,Same,ERR6349916,ERR6349926
ERR6349916,ERR6349927,16345,23.571428571428573,Same,ERR6349916,ERR6349927
ERR6349916,ERR6349929,13,0.42857142857142855,Same,ERR6349916,ERR6349929
ERR6349916,ERR6349931,89,27.142857142857142,Same,ERR6349916,ERR6349931
ERR6349916,ERR6349933,18311,47.714285714285715,Same,ERR6349916,ERR6349933
ERR6349916,ERR6349934,459,16.857142857142858,Same,ERR6349916,ERR6349934
ERR6349916,ERR6349937,8,10.285714285714286,Same,ERR6349916,ERR6349937
ERR6349916,ERR6350131,16615,22.428571428571427,Same,ERR6349916,ERR6350131
ERR6349916,ERR6350132,9,0.5714285714285714,Same,ERR6349916,ERR6350132
ERR6349916,ERR6350133,4,14.142857142857142,Same,ERR6349916,ERR6350133
ERR6349916,ERR6350134,14,0.5714285714285714,Same,ERR6349916,ERR6350134
ERR6349916,ERR6350135,3,0.7142857142857143,Same,ERR6349916,ERR6350135
ERR6349916,ERR6350137,27,0.7142857142857143,Same,ERR6349916,ERR6350137
ERR6349916,ERR6350139,18311,48.714285714285715,Same,ERR6349916,ERR6350139
ERR6349916,ERR6350140,16787,17.285714285714285,Same,ERR6349916,ERR6350140
ERR6349916,ERR6350141,6,20.428571428571427,Same,ERR6349916,ERR6350141
ERR6349916,ERR6350142,42,7.285714285714286,Same,ERR6349916,ERR6350142
ERR6349916,ERR6350143,4,9.571428571428571,Same,ERR6349916,ERR6350143
ERR6349916,ERR6350144,13,10.714285714285714,Same,ERR6349916,ERR6350144
ERR6349916,ERR6350147,6,0.7142857142857143,Same,ERR6349916,ERR6350147
ERR6349916,ERR6350148,2,0.7142857142857143,Same,ERR6349916,ERR6350148
ERR6349916,ERR6350149,10,0.8571428571428571,Same,ERR6349916,ERR6350149
ERR6349916,ERR6350150,1,0.8571428571428571,Same,ERR6349916,ERR6350150
ERR6349916,ERR6350151,3,1.2857142857142858,Same,ERR6349916,ERR6350151
ERR6349916,ERR6350152,4,1,Same,ERR6349916,ERR6350152
ERR6349916,ERR6350155,16786,17.571428571428573,Same,ERR6349916,ERR6350155
ERR6349916,ERR6350156,2,20.428571428571427,Same,ERR6349916,ERR6350156
ERR6349916,ERR6350195,1,9.285714285714286,Same,ERR6349916,ERR6350195
ERR6349916,ERR6350196,5,23.571428571428573,Same,ERR6349916,ERR6350196
ERR6349916,ERR6350197,2,1.2857142857142858,Same,ERR6349916,ERR6350197
ERR6349916,ERR6350198,10,1.2857142857142858,Same,ERR6349916,ERR6350198
ERR6349916,ERR6350199,4,1.7142857142857142,Same,ERR6349916,ERR6350199
ERR6349916,ERR6350200,5,1.2857142857142858,Same,ERR6349916,ERR6350200
ERR6349916,ERR6350202,18328,48.285714285714285,Same,ERR6349916,ERR6350202
ERR6349916,ERR6350203,6,18.285714285714285,Same,ERR6349916,ERR6350203
ERR6349916,ERR6350204,4,20.571428571428573,Same,ERR6349916,ERR6350204
ERR6349916,ERR6350205,32,6.857142857142857,Same,ERR6349916,ERR6350205
ERR6349916,ERR6350206,16776,10.571428571428571,Same,ERR6349916,ERR6350206
ERR6349916,ERR6350208,16786,16.428571428571427,Same,ERR6349916,ERR6350208
ERR6349916,ERR6350210,6,1.7142857142857142,Same,ERR6349916,ERR6350210
