iso1,iso2,dist,weeks,pair_location
ERR6349916,ERR6349917,46,0.3,Same
ERR6349916,ERR6349919,9441,48.1,Same
ERR6349916,ERR6349920,9428,48.7,Same
ERR6349916,ERR6349921,10,18.4,Same
ERR6349916,ERR6349922,17,20.9,Same
ERR6349916,ERR6349923,9,5.7,Same
ERR6349916,ERR6349924,12,8.9,Same
ERR6349916,ERR6349925,10,8.3,Same
ERR6349916,ERR6349926,9,16.6,Same
ERR6349916,ERR6349927,9789,23.6,Same
ERR6349916,ERR6349929,10,0.4,Same
ERR6349916,ERR6349931,54,27.1,Same
ERR6349916,ERR6349933,9431,47.7,Same
ERR6349916,ERR6349934,290,16.9,Same
ERR6349916,ERR6349937,14,10.3,Same
ERR6349916,ERR6350131,10514,22.4,Same
ERR6349916,ERR6350132,8,0.6,Same
ERR6349916,ERR6350133,16,14.1,Same
ERR6349916,ERR6350134,10,0.6,Same
ERR6349916,ERR6350135,10,0.7,Same
ERR6349916,ERR6350137,16,0.7,Same
ERR6349916,ERR6350139,9431,48.7,Same
ERR6349916,ERR6350140,9684,17.3,Same
ERR6349916,ERR6350141,14,20.4,Same
ERR6349916,ERR6350142,53,7.3,Same
ERR6349916,ERR6350143,13,9.6,Same
ERR6349916,ERR6350144,14,10.7,Same
ERR6349916,ERR6350147,11,0.7,Same
ERR6349916,ERR6350148,9,0.7,Same
ERR6349916,ERR6350149,7,0.9,Same
ERR6349916,ERR6350150,7,0.9,Same
ERR6349916,ERR6350151,7,1.3,Same
ERR6349916,ERR6350152,8,1,Same
ERR6349916,ERR6350155,9685,17.6,Same
ERR6349916,ERR6350156,9,20.4,Same
ERR6349916,ERR6350195,11,9.3,Same
ERR6349916,ERR6350196,10,23.6,Same
ERR6349916,ERR6350197,8,1.3,Same
ERR6349916,ERR6350198,10,1.3,Same
ERR6349916,ERR6350199,14,1.7,Same
ERR6349916,ERR6350200,7,1.3,Same
ERR6349916,ERR6350202,9446,48.3,Same
ERR6349916,ERR6350203,9,18.3,Same
ERR6349916,ERR6350204,10,20.6,Same
ERR6349916,ERR6350205,36,6.9,Same
ERR6349916,ERR6350206,10517,10.6,Same
ERR6349916,ERR6350208,9683,16.4,Same
ERR6349916,ERR6350210,11,1.7,Same
ERR6349916,ERR6350212,9,1.4,Same
ERR6349916,ERR6350214,9,2,Same
ERR6349916,ERR6350215,9441,45.3,Same
ERR6349916,ERR6350216,9431,48.7,Same
ERR6349916,ERR6350217,13,16.7,Same
ERR6349916,ERR6350218,12,21.3,Same
ERR6349916,ERR6350758,13,10.6,Same
ERR6349916,ERR6350760,9,23.4,Same
ERR6349916,ERR6350761,10497,39.9,Same
ERR6349916,ERR6350762,10476,2,Same
ERR6349916,ERR6350763,8,2.3,Same
ERR6349916,ERR6350765,8,2.3,Same
ERR6349916,ERR6350767,8957,49.3,Same
ERR6349916,ERR6350768,16,18.4,Same
ERR6349916,ERR6350769,10144,21.9,Same
ERR6349916,ERR6350770,2,6.3,Same
ERR6349916,ERR6350772,11,11.3,Same
ERR6349916,ERR6350774,9310,2.3,Same
ERR6349916,ERR6350775,8,2.3,Same
ERR6349916,ERR6350776,23,2.3,Same
ERR6349916,ERR6350777,10496,2.3,Same
ERR6349916,ERR6350779,9303,39.4,Same
ERR6349916,ERR6350780,8978,49.9,Same
ERR6349916,ERR6350781,8,18.1,Same
ERR6349916,ERR6350782,9,19.1,Same
ERR6349916,ERR6350783,19,6.9,Same
ERR6349916,ERR6350785,20,11.3,Same
ERR6349916,ERR6350786,10,9.7,Same
ERR6349916,ERR6350787,14,24.4,Same
ERR6349916,ERR6350791,10501,44.4,Same
ERR6349916,ERR6350793,10,17.3,Same
ERR6349916,ERR6350795,9,6.4,Same
ERR6349916,ERR6350796,31,10.3,Same
ERR6349916,ERR6350797,38,15.9,Same
ERR6349916,ERR6350798,35,13.9,Same
ERR6349916,ERR6350799,19,24.4,Same
ERR6349916,ERR6350800,11,3.3,Same
ERR6349916,ERR6350801,9,3.9,Same
ERR6349916,ERR6350802,6,7.7,Same
ERR6349916,ERR6350803,8,3.6,Same
ERR6349916,ERR6350804,39,49.9,Same
ERR6349916,ERR6350805,21,21.3,Same
ERR6349916,ERR6350806,19,7.3,Same
ERR6349916,ERR6350807,12,9.3,Same
ERR6349916,ERR6350808,10,11.3,Same
ERR6349916,ERR6350811,9446,44.9,Same
ERR6349916,ERR6350812,34,16.6,Same
ERR6349916,ERR6350813,10,18.6,Same
ERR6349916,ERR6350816,11,7.3,Same
ERR6349916,ERR6350817,8,10.3,Same
ERR6349916,ERR6350818,10,11.7,Same
ERR6349916,ERR6350820,9,16.3,Same
ERR6349916,ERR6350822,9441,0.3,Same
ERR6349916,ERR6350824,9127,3.7,Same
ERR6349916,ERR6350829,10,6.4,Same
ERR6349916,ERR6350830,18,10.3,Same
ERR6349916,ERR6350831,10,10.4,Same
ERR6349916,ERR6350833,17,25.1,Same
ERR6349916,ERR6350835,17,4.3,Same
ERR6349916,ERR6350836,8930,4.4,Same
ERR6349916,ERR6350838,9445,3.9,Same
ERR6349916,ERR6350840,38,35.6,Same
ERR6349916,ERR6350842,9,5.9,Same
ERR6349916,ERR6350843,13,5.4,Same
ERR6349916,ERR6350844,9,11.3,Same
ERR6349916,ERR6350845,43,15.7,Same
ERR6349916,ERR6350846,15,25.7,Same
ERR6349916,ERR6350849,12,4.9,Same
ERR6349916,ERR6350852,9,19.9,Same
ERR6349916,ERR6350853,9,7.3,Same
ERR6349916,ERR6350855,35,15.6,Same
ERR6349916,ERR6350856,36,16.4,Same
ERR6349916,ERR6350857,12,25.3,Same
ERR6349916,ERR6350860,10469,18.9,Same
ERR6349916,ERR6350862,10,10.3,Same
ERR6349916,ERR6350863,9,10.4,Same
ERR6349916,ERR6350864,9,11.3,Same
ERR6349916,ERR6350865,20,24.4,Same
ERR6349916,ERR6350866,9438,45.6,Same
ERR6349916,ERR6350868,22,17.6,Same
ERR6349916,ERR6350869,9,6.3,Same
ERR6349916,ERR6350870,10,9.3,Same
ERR6349916,ERR6350871,10,11.1,Same
ERR6349916,ERR6350872,9,11.4,Same
ERR6349916,ERR6350873,9,25.6,Same
ERR6349916,ERR6350875,9,5.7,Same
ERR6349916,ERR6350876,17,5.7,Same
ERR6349916,ERR6350879,13,18.3,Same
ERR6349916,ERR6350881,14,6.6,Same
ERR6349916,ERR6350882,24,7.3,Same
ERR6349916,ERR6350883,11,10.7,Same
ERR6349916,ERR6350884,35,15.7,Same
ERR6349916,ERR6350885,10,16.6,Same
ERR6349916,ERR6350886,10,25.4,Same
ERR6349916,ERR6350887,9442,48.1,Same
ERR6349916,ERR6350888,9457,47.6,Same
ERR6349916,ERR6350890,10143,19.3,Same
ERR6349916,ERR6350891,11,6.9,Same
ERR6349916,ERR6350892,48,7.3,Same
ERR6349916,ERR6350893,10,9.6,Same
ERR6349916,ERR6350894,11,11.3,Same
ERR6349916,ERR6350896,19,28.4,Same
ERR6349916,ERR6350897,11,2.1,Same
ERR6349916,ERR6350900,9179,46.4,Same
ERR6349916,ERR6350901,9668,15.6,Same
ERR6349916,ERR6350903,19,6.6,Same
ERR6349916,ERR6350905,10,11,Same
ERR6349916,ERR6350906,16,10.9,Same
ERR6349916,ERR6350907,10,22.6,Same
ERR6349916,ERR6350908,10,27.3,Same
ERR6349916,ERR6350909,22,1.3,Same
ERR6349916,ERR6350910,9441,43.6,Same
ERR6349916,ERR6350911,8977,47.4,Same
ERR6349916,ERR6350912,9,18.6,Same
ERR6349916,ERR6350913,9974,19.3,Same
ERR6349916,ERR6350914,9,4.7,Same
ERR6349916,ERR6350915,25,6.9,Same
ERR6349916,ERR6350916,10,10.6,Same
ERR6349916,ERR6350917,10,11.3,Same
ERR6349916,ERR6350918,10,22.9,Same
ERR6349916,ERR6350919,10,25.6,Same
ERR6349916,ERR6350922,9303,46.4,Same
ERR6349916,ERR6350923,13,16.6,Same
ERR6349916,ERR6350924,12,19.3,Same
ERR6349916,ERR6350925,15,6.9,Same
ERR6349916,ERR6350926,13,6.9,Same
ERR6349916,ERR6350928,10,22.4,Same
ERR6349916,ERR6350929,35,28.4,Same
ERR6349916,ERR6350930,10,0.7,Same
ERR6349916,ERR6350932,9683,17.3,Same
ERR6349916,ERR6350933,9797,18.9,Same
ERR6349916,ERR6350934,19,7.4,Same
ERR6349916,ERR6350935,12,7.3,Same
ERR6349916,ERR6350936,9,9.3,Same
ERR6349916,ERR6351001,10,11.3,Same
ERR6349916,ERR6351002,36,24.6,Same
ERR6349916,ERR6351003,10,0.7,Same
ERR6349916,ERR6351005,9442,47,Same
ERR6349916,ERR6351006,12,17.7,Same
ERR6349916,ERR6351007,10,19.3,Same
