iso1,iso2,dist,weeks,pair_location
CLIN.003293,CLIN.003477,0,0.6,Same
CLIN.003293,CLIN.004272,0,2.7,Same
CLIN.003293,CLIN.004469,0,3.1,Same
CLIN.003293,CLIN.004517,2,3.1,Same
CLIN.003293,CLIN.004518,0,3.1,Same
CLIN.003293,CLIN.004538,0,3.1,Same
CLIN.003293,CLIN.004980,0,4,Same
CLIN.003293,CLIN.MF10143,9625,34,Same
CLIN.003293,CLIN.MF10320,9620,34.7,Same
CLIN.003293,CLIN.MF1688,9672,1.3,Same
CLIN.003293,CLIN.MF1860,9565,0,Same
CLIN.003293,CLIN.MF1900,0,0,Same
CLIN.003293,CLIN.MF1982,0,0,Same
CLIN.003293,CLIN.MF2033,0,0,Same
CLIN.003293,CLIN.MF2551,0,2.1,Same
CLIN.003293,CLIN.MF2658.1,9751,39.7,Same
CLIN.003293,CLIN.MF2743,0,2.7,Same
CLIN.003293,CLIN.MF2876,0,2.7,Same
CLIN.003293,CLIN.MF2888,0,2.7,Same
CLIN.003293,CLIN.MF2991,0,3.1,Same
CLIN.003293,CLIN.MF3028,0,3.1,Same
CLIN.003293,CLIN.MF4280,9826,39.3,Same
CLIN.003293,CLIN.MF5301,9797,34.3,Same
CLIN.003293,CLIN.MF6891,10522,20.1,Same
CLIN.003293,CLIN.MF8377,9632,26.9,Same
CLIN.003293,CLIN.MF9345.1,9881,17.1,Same
CLIN.003293,CLIN.MF9577,9600,32,Same
CLIN.003293,CLIN.MF9735,9600,32.1,Same
CLIN.003477,CLIN.004272,0,2.1,Same
CLIN.003477,CLIN.004469,0,2.6,Same
CLIN.003477,CLIN.004517,2,2.6,Same
CLIN.003477,CLIN.004518,0,2.6,Same
CLIN.003477,CLIN.004538,0,2.6,Same
CLIN.003477,CLIN.004980,0,3.4,Same
CLIN.003477,CLIN.MF10143,9632,33.4,Same
CLIN.003477,CLIN.MF10320,9627,34.1,Same
CLIN.003477,CLIN.MF1688,9665,1.9,Same
CLIN.003477,CLIN.MF1860,9561,0.6,Same
CLIN.003477,CLIN.MF1900,0,0.6,Same
CLIN.003477,CLIN.MF1982,0,0.6,Same
CLIN.003477,CLIN.MF2033,0,0.6,Same
CLIN.003477,CLIN.MF2551,0,1.6,Same
CLIN.003477,CLIN.MF2658.1,9756,40.3,Same
CLIN.003477,CLIN.MF2743,0,2.1,Same
CLIN.003477,CLIN.MF2876,0,2.1,Same
CLIN.003477,CLIN.MF2888,0,2.1,Same
CLIN.003477,CLIN.MF2991,0,2.6,Same
CLIN.003477,CLIN.MF3028,0,2.6,Same
CLIN.003477,CLIN.MF4280,9818,39.9,Same
CLIN.003477,CLIN.MF5301,9793,34.9,Same
CLIN.003477,CLIN.MF6891,10526,19.6,Same
CLIN.003477,CLIN.MF8377,9626,26.3,Same
CLIN.003477,CLIN.MF9345.1,9880,17.7,Same
CLIN.003477,CLIN.MF9577,9596,31.4,Same
CLIN.003477,CLIN.MF9735,9596,31.6,Same
CLIN.004272,CLIN.004469,0,0.4,Same
CLIN.004272,CLIN.004517,2,0.4,Same
CLIN.004272,CLIN.004518,0,0.4,Same
CLIN.004272,CLIN.004538,0,0.4,Same
CLIN.004272,CLIN.004980,0,1.3,Same
CLIN.004272,CLIN.MF10143,9625,31.3,Same
CLIN.004272,CLIN.MF10320,9620,32,Same
CLIN.004272,CLIN.MF1688,9672,4,Same
CLIN.004272,CLIN.MF1860,9565,2.7,Same
CLIN.004272,CLIN.MF1900,0,2.7,Same
CLIN.004272,CLIN.MF1982,0,2.7,Same
CLIN.004272,CLIN.MF2033,0,2.7,Same
CLIN.004272,CLIN.MF2551,0,0.6,Same
CLIN.004272,CLIN.MF2658.1,9751,42.4,Same
CLIN.004272,CLIN.MF2743,0,0,Same
CLIN.004272,CLIN.MF2876,0,0,Same
CLIN.004272,CLIN.MF2888,0,0,Same
CLIN.004272,CLIN.MF2991,0,0.4,Same
CLIN.004272,CLIN.MF3028,0,0.4,Same
CLIN.004272,CLIN.MF4280,9826,42,Same
CLIN.004272,CLIN.MF5301,9797,37,Same
CLIN.004272,CLIN.MF6891,10522,17.4,Same
CLIN.004272,CLIN.MF8377,9632,24.1,Same
CLIN.004272,CLIN.MF9345.1,9881,19.9,Same
CLIN.004272,CLIN.MF9577,9600,29.3,Same
CLIN.004272,CLIN.MF9735,9600,29.4,Same
CLIN.004469,CLIN.004517,2,0,Same
CLIN.004469,CLIN.004518,0,0,Same
CLIN.004469,CLIN.004538,0,0,Same
CLIN.004469,CLIN.004980,0,0.9,Same
CLIN.004469,CLIN.MF10143,9632,30.9,Same
CLIN.004469,CLIN.MF10320,9627,31.6,Same
CLIN.004469,CLIN.MF1688,9676,4.4,Same
CLIN.004469,CLIN.MF1860,9568,3.1,Same
CLIN.004469,CLIN.MF1900,0,3.1,Same
CLIN.004469,CLIN.MF1982,0,3.1,Same
CLIN.004469,CLIN.MF2033,0,3.1,Same
