id,Study,Country,Region,Site,neonatal,Year,species,ST,N50,contig_count,total_size,resistance_score,K_locus,K_type,K_locus_confidence,O_locus,O_type,O_locus_confidence
22072_1#101,MLW,Malawi,Eastern Africa,Site 6B,neonate,2014,Klebsiella pneumoniae,ST372,335838,47,5546062,1,KL43,K43,Typeable,O1/O2v1,O2a,Typeable
22072_1#102,MLW,Malawi,Eastern Africa,Site 6B,neonate,2014,Klebsiella pneumoniae,ST372,341694,51,5546896,1,KL43,K43,Typeable,O1/O2v1,O2a,Typeable
22072_1#167,MLW,Malawi,Eastern Africa,Site 6B,neonate,2014,Klebsiella pneumoniae,ST372,453552,47,5548176,1,KL43,K43,Typeable,O1/O2v1,O2a,Typeable
22072_1#99,MLW,Malawi,Eastern Africa,Site 6B,neonate,2014,Klebsiella pneumoniae,ST372,368947,46,5546406,1,KL43,K43,Typeable,O1/O2v1,O2a,Typeable
42139_1#41,MLW,Malawi,Eastern Africa,Site 6B,neonate,2014,Klebsiella pneumoniae,ST372,369942,46,5551395,1,KL43,K43,Typeable,O1/O2v1,O2a,Typeable
22072_1#103,MLW,Malawi,Eastern Africa,Site 6B,neonate,2014,Klebsiella pneumoniae,ST340,209486,70,5588876,1,KL15,K15,Typeable,O4,O4,Typeable
22072_1#105,MLW,Malawi,Eastern Africa,Site 6B,neonate,2014,Klebsiella pneumoniae,ST340,209643,70,5593787,1,KL15,K15,Typeable,O4,O4,Typeable
22072_1#107,MLW,Malawi,Eastern Africa,Site 6B,neonate,2014,Klebsiella pneumoniae,ST340,270618,70,5595058,1,KL15,K15,Typeable,O4,O4,Typeable
22072_1#110,MLW,Malawi,Eastern Africa,Site 6B,neonate,2014,Klebsiella pneumoniae,ST340,244288,112,5626094,1,KL15,K15,Typeable,O4,O4,Typeable
22072_1#111,MLW,Malawi,Eastern Africa,Site 6B,neonate,2014,Klebsiella pneumoniae,ST340,244140,69,5588916,1,KL15,K15,Typeable,O4,O4,Typeable
22072_1#112,MLW,Malawi,Eastern Africa,Site 6B,neonate,2014,Klebsiella pneumoniae,ST340,270003,70,5587477,1,KL15,K15,Typeable,O4,O4,Typeable
22072_1#114,MLW,Malawi,Eastern Africa,Site 6B,neonate,2014,Klebsiella pneumoniae,ST340,269550,67,5589426,1,KL15,K15,Typeable,O4,O4,Typeable
22072_1#119,MLW,Malawi,Eastern Africa,Site 6B,neonate,2014,Klebsiella pneumoniae,ST340,241052,70,5587834,1,KL15,K15,Typeable,O4,O4,Typeable
22072_1#120,MLW,Malawi,Eastern Africa,Site 6B,neonate,2014,Klebsiella pneumoniae,ST340,209502,78,5590023,1,KL15,K15,Typeable,O4,O4,Typeable
22072_1#121,MLW,Malawi,Eastern Africa,Site 6B,neonate,2014,Klebsiella pneumoniae,ST340,241169,70,5587888,1,KL15,K15,Typeable,O4,O4,Typeable
22072_1#122,MLW,Malawi,Eastern Africa,Site 6B,neonate,2014,Klebsiella pneumoniae,ST340,270124,68,5592177,1,KL15,K15,Typeable,O4,O4,Typeable
22072_1#123,MLW,Malawi,Eastern Africa,Site 6B,neonate,2014,Klebsiella pneumoniae,ST340,270426,70,5629033,1,KL15,K15,Typeable,O4,O4,Typeable
22072_1#125,MLW,Malawi,Eastern Africa,Site 6B,neonate,2014,Klebsiella pneumoniae,ST340,241126,69,5635160,1,KL15,K15,Typeable,O4,O4,Typeable
22072_1#126,MLW,Malawi,Eastern Africa,Site 6B,neonate,2014,Klebsiella pneumoniae,ST391,876430,85,5837533,1,KL30,K30,Typeable,O1/O2v2,O1ab,Typeable
22072_1#127,MLW,Malawi,Eastern Africa,Site 6B,neonate,2014,Klebsiella pneumoniae,ST391,741120,103,5821731,1,KL30,K30,Typeable,O1/O2v2,O1ab,Typeable
22072_1#130,MLW,Malawi,Eastern Africa,Site 6B,neonate,2015,Klebsiella pneumoniae,ST14,301732,76,5810899,1,KL2,K2,Untypeable,O1/O2v1,O1ab,Typeable
22072_1#131,MLW,Malawi,Eastern Africa,Site 6B,neonate,2015,Klebsiella pneumoniae,ST14,61574,259,5776951,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
22072_1#132,MLW,Malawi,Eastern Africa,Site 6B,neonate,2015,Klebsiella pneumoniae,ST14,351333,78,5828585,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
22072_1#134,MLW,Malawi,Eastern Africa,Site 6B,neonate,2015,Klebsiella pneumoniae,ST14,345719,73,5814635,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
22072_1#147,MLW,Malawi,Eastern Africa,Site 6B,neonate,2015,Klebsiella pneumoniae,ST14,103312,163,5793907,1,KL2,Capsule null,Typeable,O1/O2v1,O2a,Typeable
22072_1#139,MLW,Malawi,Eastern Africa,Site 6B,neonate,2015,Klebsiella pneumoniae,ST14,368456,89,5830674,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
42070_1#103,MLW,Malawi,Eastern Africa,Site 6B,neonate,2016,Klebsiella pneumoniae,ST14,381889,68,5800841,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
42070_1#226,MLW,Malawi,Eastern Africa,Site 6B,neonate,2015,Klebsiella pneumoniae,ST14,363379,87,5803997,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
42070_1#228,MLW,Malawi,Eastern Africa,Site 6B,neonate,2015,Klebsiella pneumoniae,ST14,272334,98,5804603,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
42070_1#230,MLW,Malawi,Eastern Africa,Site 6B,neonate,2015,Klebsiella pneumoniae,ST14,241337,107,5801838,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
42070_1#236,MLW,Malawi,Eastern Africa,Site 6B,neonate,2015,Klebsiella pneumoniae,ST14,367361,79,5797909,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
42070_2#92,MLW,Malawi,Eastern Africa,Site 6B,neonate,2016,Klebsiella pneumoniae,ST14,345753,77,5805162,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
42070_1#108,MLW,Malawi,Eastern Africa,Site 6B,neonate,2017,Klebsiella pneumoniae,ST39,339422,44,5681627,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
42070_1#110,MLW,Malawi,Eastern Africa,Site 6B,neonate,2017,Klebsiella pneumoniae,ST39,339882,40,5680286,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
42070_1#112,MLW,Malawi,Eastern Africa,Site 6B,neonate,2017,Klebsiella pneumoniae,ST39,339623,42,5680578,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
42070_1#120,MLW,Malawi,Eastern Africa,Site 6B,neonate,2017,Klebsiella pneumoniae,ST39,254033,45,5677650,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
42070_1#122,MLW,Malawi,Eastern Africa,Site 6B,neonate,2017,Klebsiella pneumoniae,ST39,262829,48,5678388,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
42070_1#126,MLW,Malawi,Eastern Africa,Site 6B,neonate,2017,Klebsiella pneumoniae,ST39,326635,44,5680393,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
42070_1#130,MLW,Malawi,Eastern Africa,Site 6B,neonate,2017,Klebsiella pneumoniae,ST39,376900,47,5679472,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
42070_1#40,MLW,Malawi,Eastern Africa,Site 6B,neonate,2017,Klebsiella pneumoniae,ST39,345536,38,5678460,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
42070_1#44,MLW,Malawi,Eastern Africa,Site 6B,neonate,2017,Klebsiella pneumoniae,ST39,326635,38,5678896,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
42070_1#68,MLW,Malawi,Eastern Africa,Site 6B,neonate,2017,Klebsiella pneumoniae,ST39,371916,43,5677650,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
42070_1#72,MLW,Malawi,Eastern Africa,Site 6B,neonate,2017,Klebsiella pneumoniae,ST39,343414,40,5677485,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
42070_1#74,MLW,Malawi,Eastern Africa,Site 6B,neonate,2017,Klebsiella pneumoniae,ST39,372006,42,5679604,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
42070_1#76,MLW,Malawi,Eastern Africa,Site 6B,neonate,2017,Klebsiella pneumoniae,ST39,372174,42,5680060,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
42070_1#80,MLW,Malawi,Eastern Africa,Site 6B,neonate,2017,Klebsiella pneumoniae,ST39,372273,40,5682372,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
42070_1#98,MLW,Malawi,Eastern Africa,Site 6B,neonate,2017,Klebsiella pneumoniae,ST39,326635,41,5677723,1,KL2,K2,Typeable,O1/O2v1,O1ab,Typeable
42070_1#109,MLW,Malawi,Eastern Africa,Site 6B,neonate,2016,Klebsiella pneumoniae,ST25,193148,71,5619355,1,KL2,K2,Typeable,O1/O2v2,O1ab,Typeable
