iso1,iso2,dist,weeks,pair_location
ERR4920372,ERR4920373,10405,5.4,Same
ERR4920372,ERR4920374,10551,9.7,Same
ERR4920372,ERR4920375,10452,10.6,Same
ERR4920372,ERR4920376,10691,13.9,Same
ERR4920372,ERR4920377,11342,38.3,Same
ERR4920372,ERR4920378,10260,37.1,Same
ERR4920372,ERR4920379,10392,32,Same
ERR4920372,ERR4920380,10357,28.6,Same
ERR4920372,ERR4920381,10204,18.1,Same
ERR4920372,ERR4920382,11387,16.6,Same
ERR4920372,ERR4920383,11387,14.6,Same
ERR4920372,ERR4920384,4,13.4,Same
ERR4920372,ERR4920385,11500,50.9,Same
ERR4920372,ERR4920386,11385,12.3,Same
ERR4920372,ERR4920387,11381,9.3,Same
ERR4920372,ERR4920388,329,4.1,Same
ERR4920372,ERR4920391,10693,3.9,Different
ERR4920372,ERR4920392,9681,18.7,Different
ERR4920372,ERR4920393,10524,23.1,Different
ERR4920372,ERR4920394,9801,22.7,Different
ERR4920372,ERR4920395,10037,25.3,Different
ERR4920372,ERR4920396,9800,26.1,Different
ERR4920372,ERR4920397,10627,26.7,Different
ERR4920372,ERR4920398,10627,30.4,Different
ERR4920372,ERR4920399,10637,32,Different
ERR4920372,ERR4920400,11354,32.4,Different
ERR4920372,ERR4920401,10637,31.6,Different
ERR4920372,ERR4920402,11354,32.4,Different
ERR4920372,ERR4920403,11337,33.1,Different
ERR4920372,ERR4920404,9801,33.3,Different
ERR4920372,ERR4920405,11354,33.3,Different
ERR4920372,ERR4920406,9800,36.6,Different
ERR4920372,ERR4920407,9800,34.1,Different
ERR4920372,ERR4920408,9801,34.7,Different
ERR4920372,ERR4920409,9801,34.7,Different
ERR4920372,ERR4920410,11354,35.3,Different
ERR4920372,ERR4920411,9800,35.3,Different
ERR4920372,ERR4920412,9800,35.4,Different
ERR4920372,ERR4920413,9800,37.9,Different
ERR4920372,ERR4920414,9795,38.1,Different
ERR4920372,ERR4920415,9800,39.3,Different
ERR4920372,ERR4920416,11355,40.7,Different
ERR4920372,ERR4920417,11354,42.3,Different
