iso1,iso2,dist,weeks,pair_location,L1,L2
ERR4920372,ERR4920373,12623,5.428571428571429,Same,ERR4920372,ERR4920373
ERR4920372,ERR4920374,12600,9.714285714285714,Same,ERR4920372,ERR4920374
ERR4920372,ERR4920375,12517,10.571428571428571,Same,ERR4920372,ERR4920375
ERR4920372,ERR4920376,12343,13.857142857142858,Same,ERR4920372,ERR4920376
ERR4920372,ERR4920377,13402,38.285714285714285,Same,ERR4920372,ERR4920377
ERR4920372,ERR4920378,12443,37.142857142857146,Same,ERR4920372,ERR4920378
ERR4920372,ERR4920379,12633,32,Same,ERR4920372,ERR4920379
ERR4920372,ERR4920380,12632,28.571428571428573,Same,ERR4920372,ERR4920380
ERR4920372,ERR4920381,12383,18.142857142857142,Same,ERR4920372,ERR4920381
ERR4920372,ERR4920382,13119,16.571428571428573,Same,ERR4920372,ERR4920382
ERR4920372,ERR4920383,13117,14.571428571428571,Same,ERR4920372,ERR4920383
ERR4920372,ERR4920384,8,13.428571428571429,Same,ERR4920372,ERR4920384
ERR4920372,ERR4920385,13021,50.857142857142854,Same,ERR4920372,ERR4920385
ERR4920372,ERR4920386,13120,12.285714285714286,Same,ERR4920372,ERR4920386
ERR4920372,ERR4920387,13118,9.285714285714286,Same,ERR4920372,ERR4920387
ERR4920372,ERR4920388,720,4.142857142857143,Same,ERR4920372,ERR4920388
ERR4920372,ERR4920391,12785,3.857142857142857,Different,ERR4920372,ERR4920391
ERR4920372,ERR4920392,11996,18.714285714285715,Different,ERR4920372,ERR4920392
ERR4920372,ERR4920393,12523,23.142857142857142,Different,ERR4920372,ERR4920393
ERR4920372,ERR4920394,12476,22.714285714285715,Different,ERR4920372,ERR4920394
ERR4920372,ERR4920395,12352,25.285714285714285,Different,ERR4920372,ERR4920395
ERR4920372,ERR4920396,12469,26.142857142857142,Different,ERR4920372,ERR4920396
ERR4920372,ERR4920397,12881,26.714285714285715,Different,ERR4920372,ERR4920397
ERR4920372,ERR4920398,12885,30.428571428571427,Different,ERR4920372,ERR4920398
ERR4920372,ERR4920399,12882,32,Different,ERR4920372,ERR4920399
ERR4920372,ERR4920400,13504,32.42857142857143,Different,ERR4920372,ERR4920400
ERR4920372,ERR4920401,12883,31.571428571428573,Different,ERR4920372,ERR4920401
ERR4920372,ERR4920402,13504,32.42857142857143,Different,ERR4920372,ERR4920402
ERR4920372,ERR4920403,13478,33.142857142857146,Different,ERR4920372,ERR4920403
ERR4920372,ERR4920404,12474,33.285714285714285,Different,ERR4920372,ERR4920404
ERR4920372,ERR4920405,13503,33.285714285714285,Different,ERR4920372,ERR4920405
ERR4920372,ERR4920406,12475,36.57142857142857,Different,ERR4920372,ERR4920406
ERR4920372,ERR4920407,12469,34.142857142857146,Different,ERR4920372,ERR4920407
ERR4920372,ERR4920408,12471,34.714285714285715,Different,ERR4920372,ERR4920408
ERR4920372,ERR4920409,12473,34.714285714285715,Different,ERR4920372,ERR4920409
ERR4920372,ERR4920410,13505,35.285714285714285,Different,ERR4920372,ERR4920410
ERR4920372,ERR4920411,12473,35.285714285714285,Different,ERR4920372,ERR4920411
ERR4920372,ERR4920412,12474,35.42857142857143,Different,ERR4920372,ERR4920412
ERR4920372,ERR4920413,12472,37.857142857142854,Different,ERR4920372,ERR4920413
ERR4920372,ERR4920414,12469,38.142857142857146,Different,ERR4920372,ERR4920414
ERR4920372,ERR4920415,12469,39.285714285714285,Different,ERR4920372,ERR4920415
ERR4920372,ERR4920416,13505,40.714285714285715,Different,ERR4920372,ERR4920416
ERR4920372,ERR4920417,13501,42.285714285714285,Different,ERR4920372,ERR4920417
ERR4920372,ERR4920418,13503,42.285714285714285,Different,ERR4920372,ERR4920418
ERR4920372,ERR4920419,13504,10.428571428571429,Different,ERR4920372,ERR4920419
ERR4920372,ERR4920420,12356,25.142857142857142,Different,ERR4920372,ERR4920420
