iso1,iso2,dist,weeks,pair_location
HG06700900,HG06869375,10150,6.7,Same
HG06700900,HG06872466,10294,6.9,Same
HG06700900,HG06924805,9387,9,Same
HG06700900,HG07158982,9353,18,Same
HG06700900,HG07179260,9294,18.9,Same
HG06700900,HG07220184,9366,20.4,Same
HG06700900,HG07232940,9265,21,Same
HG06700900,HG07246814,9602,21.4,Same
HG06700900,HG07250997,9816,21.7,Same
HG06700900,HG07263699,16,22.1,Same
HG06700900,HG07276892,16,22.6,Same
HG06700900,HG07306460,9219,23.6,Same
HG06700900,HG07330139,10195,24.4,Same
HG06700900,HG07330188,9466,24.4,Same
HG06700900,HG07332549,10289,24.6,Same
HG06700900,HG07335713,41,41.1,Same
HG06700900,HG07341101,16,24.9,Same
HG06700900,HG07415837,9415,27.9,Same
HG06700900,HG07418777,9393,28.1,Same
HG06700900,HG07447392,9407,29,Same
HG06700900,HG07490109,18,30.7,Same
HG06700900,HG07502428,9476,31.1,Same
HG06700900,HG07515032,9481,31.7,Same
HG06700900,HG07523412,9451,32.1,Same
HG06700900,HG07536697,9409,32.6,Same
HG06700900,HG07573284,18,34.7,Same
HG06700900,HG07589966,18,35.7,Same
HG06700900,HG07594328,9479,36,Same
HG06700900,HG07613809,9319,36.7,Same
HG06700900,HG07622927,9442,37,Same
HG06700900,HG07623632,9434,37.1,Same
HG06700900,HG07623670,9623,37.1,Same
HG06700900,HG07635323,9352,37.6,Same
HG06700900,HG07640120,9294,37.7,Same
HG06700900,HG07644129,9368,38,Same
HG06700900,HG07682652,9381,39.3,Same
HG06700900,HG07711602,9241,40.4,Same
HG06700900,HG07721141,10049,40.7,Same
HG06700900,HG07814008,10267,43.4,Same
HG06700900,HG07817841,9699,43.7,Same
HG06700900,HG07822648,9070,43.9,Same
HG06700900,HG0792698,9818,42.9,Same
HG06700900,HG08025702,9836,52.3,Same
HG06700900,HG08040993,9748,53,Same
HG06700900,HG08045544,40,52.6,Same
HG06700900,HG08135560,9378,56.7,Same
HG06700900,HG08135581,9405,56.7,Same
HG06700900,HG08423951,9697,69.3,Same
HG06869375,HG06872466,2,0.1,Same
HG06869375,HG06924805,10005,2.3,Same
HG06869375,HG07158982,10017,11.3,Same
HG06869375,HG07179260,9901,12.1,Same
HG06869375,HG07220184,10026,13.7,Same
HG06869375,HG07232940,9895,14.3,Same
HG06869375,HG07246814,8919,14.7,Same
HG06869375,HG07250997,9131,15,Same
HG06869375,HG07263699,10225,15.4,Same
HG06869375,HG07276892,10160,15.9,Same
HG06869375,HG07306460,10121,16.9,Same
HG06869375,HG07330139,4,17.7,Same
HG06869375,HG07330188,10200,17.7,Same
HG06869375,HG07332549,4,17.9,Same
HG06869375,HG07335713,10151,34.4,Same
HG06869375,HG07341101,10182,18.1,Same
HG06869375,HG07415837,10152,21.1,Same
HG06869375,HG07418777,10006,21.4,Same
HG06869375,HG07447392,9983,22.3,Same
HG06869375,HG07490109,10178,24,Same
HG06869375,HG07502428,10204,24.4,Same
HG06869375,HG07515032,10213,25,Same
HG06869375,HG07523412,10188,25.4,Same
HG06869375,HG07536697,10140,25.9,Same
HG06869375,HG07573284,10160,28,Same
HG06869375,HG07589966,10193,29,Same
HG06869375,HG07594328,10210,29.3,Same
HG06869375,HG07613809,10058,30,Same
HG06869375,HG07622927,10166,30.3,Same
HG06869375,HG07623632,10169,30.4,Same
HG06869375,HG07623670,10251,30.4,Same
HG06869375,HG07635323,10080,30.9,Same
HG06869375,HG07640120,9930,31,Same
HG06869375,HG07644129,10030,31.3,Same
