iso1,iso2,dist,weeks,pair_location
111011,111313,0,1.4,Same
111011,111825,10436,10.3,Same
111011,111827,10436,10.4,Same
111011,111837,10436,10.6,Same
111011,111838,10436,10.9,Same
111011,111839,10436,11,Same
111011,111841,10436,11.3,Same
111011,111850,10437,11.6,Same
111011,111857,10119,11.6,Same
111011,111865,10436,11.6,Same
111011,112035,10436,12.7,Same
111011,112070,10438,13.3,Same
111011,112216,9649,15,Same
111011,112271,10436,15.3,Same
111011,112289,10438,15.9,Same
111011,112309,9686,16.9,Different
111011,112502,9686,21.3,Different
111011,112529,9685,22.4,Different
111011,113225,9686,29.1,Different
111011,113295,9649,30.1,Same
111011,113415,9502,33.4,Same
111011,113447,9502,35,Same
111011,113452,9502,35.3,Same
111011,113456,9450,35.4,Same
111011,113458,9502,35.6,Same
111011,113459,9502,35.6,Same
111011,113474,9502,35.7,Same
111011,113528,9502,36.1,Same
111011,113529,9502,36.1,Same
111011,113530,9502,36.1,Same
111011,113533,9502,36.3,Same
111011,113534,9502,36.3,Same
111011,113535,9502,36.3,Same
111011,113538,9502,36.4,Same
111011,113557,9502,36.3,Same
111011,113558,9502,36.7,Same
111011,113559,9502,36.7,Same
111011,113573,9502,36.9,Same
111011,113574,9502,37,Same
111011,113579,9502,37.1,Same
111011,113617,9502,37.7,Same
111011,113680,9502,38.1,Same
111011,113682,9502,38.4,Same
111011,113691,9502,38.7,Same
111011,113697,9502,38.1,Same
111011,113698,9499,38.9,Same
111011,113751,9503,40.1,Same
111011,113752,9502,40.1,Same
111011,113753,9502,40.1,Same
111011,114426,10435,51.1,Different
111011,114427,9655,50.4,Different
111011,117119,10371,63.6,Different
111011,117566,10438,71,Different
111011,117570,10438,71,Different
111011,117577,9384,71.3,Different
111011,117578,10437,71.3,Different
111011,117581,10431,71.3,Different
111011,117590,10438,71.1,Different
111011,117662,10438,72,Different
111011,117664,10408,72,Different
111011,117666,10438,72,Different
111011,117768,10438,73.9,Different
111011,117779,10454,74.4,Different
111011,117942,10421,76.1,Different
111011,117971,10402,77,Different
111313,111825,10436,8.9,Same
111313,111827,10436,9,Same
111313,111837,10436,9.1,Same
111313,111838,10436,9.4,Same
111313,111839,10436,9.6,Same
111313,111841,10436,9.9,Same
111313,111850,10437,10.1,Same
111313,111857,10119,10.1,Same
111313,111865,10436,10.1,Same
111313,112035,10436,11.3,Same
111313,112070,10438,11.9,Same
