id,Study,Country,Region,Site,neonatal,Year,species,ST,N50,contig_count,total_size,resistance_score,K_locus,K_type,K_locus_confidence,O_locus,O_type,O_locus_confidence
FF31_01-0057-00.1,MBIRA,South Africa,Southern Africa,Site 24,neonate,2021,Klebsiella pneumoniae,ST29,178375,112,5450411,1,KL30,K30,Typeable,O1/O2v2,O1ab,Typeable
FF31_01-0062-00.1,MBIRA,South Africa,Southern Africa,Site 24,neonate,2021,Klebsiella pneumoniae,ST29,203974,86,5270554,1,KL30,K30,Typeable,O1/O2v2,O1ab,Typeable
FF33_06-0035-00,MBIRA,Ghana,Western Africa,Site 12,neonate,2021,Klebsiella pneumoniae,ST307,77721,157,5806885,2,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable
FF33_06-0039-00,MBIRA,Ghana,Western Africa,Site 12,neonate,2021,Klebsiella pneumoniae,ST307,161931,78,5476809,2,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable
FF33_06-0046-00,MBIRA,Ghana,Western Africa,Site 12,neonate,2021,Klebsiella pneumoniae,ST307,89744,120,5711419,2,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable
FF33_06-0047-00,MBIRA,Ghana,Western Africa,Site 12,neonate,2021,Klebsiella pneumoniae,ST307,96236,123,5710860,2,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable
FF33_06-0056-00,MBIRA,Ghana,Western Africa,Site 12,neonate,2021,Klebsiella pneumoniae,ST307,86564,126,5666859,2,KL102,unknown (KL102),Typeable,O1/O2v2,O2afg,Typeable
FF33_06-0071-00,MBIRA,Ghana,Western Africa,Site 12,neonate,2021,Klebsiella pneumoniae,ST101,53901,201,5536288,1,KL17,K17,Typeable,O1/O2v1,O1ab,Typeable
FF33_06-0078-00,MBIRA,Ghana,Western Africa,Site 12,neonate,2021,Klebsiella pneumoniae,ST101,108869,106,5548767,1,KL17,K17,Typeable,O1/O2v1,O1ab,Typeable
FF33_06-0083-00,MBIRA,Ghana,Western Africa,Site 12,neonate,2021,Klebsiella pneumoniae,ST101,112467,105,5549206,1,KL17,K17,Typeable,O1/O2v1,O1ab,Typeable
FF33_06-0084-00,MBIRA,Ghana,Western Africa,Site 12,neonate,2021,Klebsiella pneumoniae,ST101,95559,114,5542266,1,KL17,K17,Typeable,O1/O2v1,O1ab,Typeable
FF33_06-0096-00,MBIRA,Ghana,Western Africa,Site 12,neonate,2021,Klebsiella pneumoniae,ST101,77800,128,5540566,1,KL17,K17,Typeable,O1/O2v1,O1ab,Typeable
FF34_10-0015-00,MBIRA,Zambia,Eastern Africa,Site 10,neonate,2021,Klebsiella pneumoniae,ST5856,108328,123,5463168,2,KL15,K15,Typeable,O4,O4,Typeable
FF34_10-0029-00,MBIRA,Zambia,Eastern Africa,Site 10,neonate,2021,Klebsiella pneumoniae,ST5856,72812,155,5443763,2,KL15,K15,Typeable,O4,O4,Typeable
FF34_10-0034-00,MBIRA,Zambia,Eastern Africa,Site 10,neonate,2021,Klebsiella pneumoniae,ST5856,118356,128,5464338,2,KL15,K15,Typeable,O4,O4,Typeable
FF34_10-0037-00,MBIRA,Zambia,Eastern Africa,Site 10,neonate,2021,Klebsiella pneumoniae,ST5856,107919,134,5462776,2,KL15,K15,Typeable,O4,O4,Typeable
FF34_10-0060-00-B,MBIRA,Zambia,Eastern Africa,Site 10,neonate,2021,Klebsiella pneumoniae,ST45-1LV,15890,655,5630717,2,KL24,K24,Typeable,O1/O2v1,O2a,Typeable
FF34_10-0061-00,MBIRA,Zambia,Eastern Africa,Site 10,neonate,2021,Klebsiella pneumoniae,ST45,23609,461,5610636,2,KL24,K24,Typeable,O1/O2v1,O2a,Typeable
FF34_10-0065-00,MBIRA,Zambia,Eastern Africa,Site 10,neonate,2021,Klebsiella pneumoniae,ST45,86909,166,5670516,2,KL24,K24,Typeable,O1/O2v1,O2a,Typeable
FF34_10-0105-00,MBIRA,Zambia,Eastern Africa,Site 10,neonate,2021,Klebsiella pneumoniae,ST17,99869,142,5623936,1,KL23,K23,Typeable,O1/O2v2,O2afg,Typeable
FF34_10-0110-00,MBIRA,Zambia,Eastern Africa,Site 10,neonate,2021,Klebsiella pneumoniae,ST17,36670,306,5569524,1,KL23,K23,Typeable,O1/O2v2,O2afg,Typeable
FF35_08-0024-00,MBIRA,Ethiopia,Eastern Africa,Site 2,neonate,2021,Klebsiella pneumoniae,ST20,78117,127,5232984,1,KL28,K28,Typeable,O1/O2v2,O2afg,Typeable
FF35_08-0156-00,MBIRA,Ethiopia,Eastern Africa,Site 2,neonate,2021,Klebsiella pneumoniae,ST20,210512,54,5239415,1,KL28,K28,Typeable,O1/O2v2,O2afg,Typeable
FF35_08-0159-00,MBIRA,Ethiopia,Eastern Africa,Site 2,neonate,2021,Klebsiella pneumoniae,ST20,172559,63,5236405,1,KL28,K28,Typeable,O1/O2v2,O2afg,Typeable
FF35_08-0165-00,MBIRA,Ethiopia,Eastern Africa,Site 2,neonate,2021,Klebsiella pneumoniae,ST20,258771,52,5240099,1,KL28,K28,Typeable,O1/O2v2,O2afg,Typeable
FF35_08-0166-00,MBIRA,Ethiopia,Eastern Africa,Site 2,neonate,2021,Klebsiella pneumoniae,ST20,277140,48,5241768,1,KL28,K28,Typeable,O1/O2v2,O2afg,Typeable
FF35_08-005-00,MBIRA,Ethiopia,Eastern Africa,Site 2,neonate,2021,Klebsiella pneumoniae,ST29,13386,842,5582448,1,KL30,K30,Typeable,O1/O2v2,O1ab,Typeable
FF35_08-0074-00,MBIRA,Ethiopia,Eastern Africa,Site 2,neonate,2021,Klebsiella pneumoniae,ST29,95416,143,5641567,1,KL30,K30,Typeable,O1/O2v2,O1ab,Typeable
FF35_08-0091-00,MBIRA,Ethiopia,Eastern Africa,Site 2,neonate,2021,Klebsiella pneumoniae,ST29,23559,461,5456110,1,KL30,K30,Typeable,O1/O2v2,O1ab,Typeable
FF35_08-0101-00,MBIRA,Ethiopia,Eastern Africa,Site 2,neonate,2021,Klebsiella pneumoniae,ST29,84966,155,5530794,1,KL30,K30,Typeable,O1/O2v2,O1ab,Typeable
FF35_08-0124-00,MBIRA,Ethiopia,Eastern Africa,Site 2,neonate,2021,Klebsiella pneumoniae,ST29,27722,365,5412854,1,KL30,K30,Typeable,O1/O2v2,O1ab,Typeable
FF35_08-0142-00,MBIRA,Ethiopia,Eastern Africa,Site 2,neonate,2021,Klebsiella pneumoniae,ST29,144161,89,5443264,1,KL30,K30,Typeable,O1/O2v2,O1ab,Typeable
FF35_08-0137-00,MBIRA,Ethiopia,Eastern Africa,Site 2,neonate,2021,Klebsiella pneumoniae,ST29,147497,95,5446259,1,KL30,K30,Typeable,O1/O2v2,O1ab,Typeable
FF35_08-0141-00,MBIRA,Ethiopia,Eastern Africa,Site 2,neonate,2021,Klebsiella pneumoniae,ST29,46541,254,5625547,1,KL30,K30,Typeable,O1/O2v2,O1ab,Typeable
FF35_08-0078-00,MBIRA,Ethiopia,Eastern Africa,Site 2,neonate,2021,Klebsiella pneumoniae,ST20,281614,53,5241002,1,KL28,K28,Typeable,O1/O2v2,O2afg,Typeable
FF35_08-0169-00,MBIRA,Ethiopia,Eastern Africa,Site 2,neonate,2021,Klebsiella pneumoniae,ST20,70225,150,5229269,1,KL28,K28,Typeable,O1/O2v2,O2afg,Typeable
FF35_08-0170-00,MBIRA,Ethiopia,Eastern Africa,Site 2,neonate,2021,Klebsiella pneumoniae,ST20,70183,151,5227929,1,KL28,K28,Typeable,O1/O2v2,O2afg,Typeable
FF35_08-0171-00,MBIRA,Ethiopia,Eastern Africa,Site 2,neonate,2021,Klebsiella pneumoniae,ST20,127813,85,5237356,1,KL28,K28,Typeable,O1/O2v2,O2afg,Typeable
FF35_08-0172-00,MBIRA,Ethiopia,Eastern Africa,Site 2,neonate,2021,Klebsiella pneumoniae,ST20,263145,52,5237453,1,KL28,K28,Typeable,O1/O2v2,O2afg,Typeable
FF35_08-0174-00,MBIRA,Ethiopia,Eastern Africa,Site 2,neonate,2021,Klebsiella pneumoniae,ST20,54130,163,5225064,1,KL28,K28,Typeable,O1/O2v2,O2afg,Typeable
FF35_08-0178-00,MBIRA,Ethiopia,Eastern Africa,Site 2,neonate,2021,Klebsiella pneumoniae,ST20,162912,58,5238239,1,KL28,K28,Typeable,O1/O2v2,O2afg,Typeable
FF36_11-0008-00,MBIRA,Malawi,Eastern Africa,Site 6,neonate,2020,Klebsiella pneumoniae,ST45,68084,171,5590909,1,KL10,K10,Typeable,O1/O2v1,O2a,Typeable
FF36_11-0007-00,MBIRA,Malawi,Eastern Africa,Site 6,neonate,2020,Klebsiella pneumoniae,ST45,30356,297,5545499,1,KL10,K10,Typeable,O1/O2v1,O2a,Typeable
FF36_11-0018-00,MBIRA,Malawi,Eastern Africa,Site 6,neonate,2021,Klebsiella pneumoniae,ST39,78819,131,5518796,1,KL62,K62,Typeable,O1/O2v2,O1ab,Typeable
FF36_11-0019-00,MBIRA,Malawi,Eastern Africa,Site 6,neonate,2021,Klebsiella pneumoniae,ST39,91317,128,5521219,1,KL62,K62,Typeable,O1/O2v2,O1ab,Typeable
FF36_11-0092-00,MBIRA,Malawi,Eastern Africa,Site 6,neonate,2021,Klebsiella pneumoniae,ST39,99295,141,5470238,1,KL62,K62,Typeable,O1/O2v2,O1ab,Typeable
FF36_11-0099-00,MBIRA,Malawi,Eastern Africa,Site 6,neonate,2021,Klebsiella pneumoniae,ST39,86239,162,5470321,1,KL62,K62,Typeable,O1/O2v2,O1ab,Typeable
FF36_11-0119-00,MBIRA,Malawi,Eastern Africa,Site 6,neonate,2021,Klebsiella pneumoniae,ST25,49932,230,5518200,1,KL2,K2,Typeable,O1/O2v2,O1ab,Typeable
FF36_11-0120-00,MBIRA,Malawi,Eastern Africa,Site 6,neonate,2021,Klebsiella pneumoniae,ST25,78963,183,5612865,1,KL2,K2,Typeable,O1/O2v2,O1ab,Typeable
FFKC_017KP.1,MBIRA,Tanzania,Eastern Africa,Site 9,neonate,2021,Klebsiella pneumoniae,ST1741-1LV,36935,277,5296716,1,KL104,unknown (KL104),Typeable,O1/O2v2,O1ab,Typeable
FFKC_018KP.1,MBIRA,Tanzania,Eastern Africa,Site 9,neonate,2021,Klebsiella pneumoniae,ST1741,58392,183,5306720,1,KL104,unknown (KL104),Typeable,O1/O2v2,O1ab,Typeable
FFKC_022KP.1,MBIRA,Tanzania,Eastern Africa,Site 9,neonate,2021,Klebsiella pneumoniae,ST1741,106924,103,5327443,1,KL104,unknown (KL104),Typeable,O1/O2v2,O1ab,Typeable
FFKC_037KP.1,MBIRA,Tanzania,Eastern Africa,Site 9,neonate,2021,Klebsiella pneumoniae,ST1741,53180,212,5317338,1,KL104,unknown (KL104),Typeable,O1/O2v2,O1ab,Typeable
FFKC_041KP.1,MBIRA,Tanzania,Eastern Africa,Site 9,neonate,2021,Klebsiella pneumoniae,ST1741,17767,679,5197094,1,KL104,unknown (KL104),Typeable,O1/O2v2,O1ab,Typeable
FFKC_042KP.1,MBIRA,Tanzania,Eastern Africa,Site 9,neonate,2021,Klebsiella pneumoniae,ST1741,14098,840,5135312,1,KL104,unknown (KL104),Typeable,O1/O2v2,O1ab,Typeable
FFKC_19KP.1,MBIRA,Tanzania,Eastern Africa,Site 9,neonate,2021,Klebsiella pneumoniae,ST1741,92388,116,5320600,1,KL104,unknown (KL104),Typeable,O1/O2v2,O1ab,Typeable
FFKC_28KP.1,MBIRA,Tanzania,Eastern Africa,Site 9,neonate,2021,Klebsiella pneumoniae,ST1741,91260,120,5322814,1,KL104,unknown (KL104),Typeable,O1/O2v2,O1ab,Typeable
FFKC_30KP.1,MBIRA,Tanzania,Eastern Africa,Site 9,neonate,2021,Klebsiella pneumoniae,ST1741,87641,115,5327149,1,KL104,unknown (KL104),Typeable,O1/O2v2,O1ab,Typeable
FFKC_31KP.1,MBIRA,Tanzania,Eastern Africa,Site 9,neonate,2021,Klebsiella pneumoniae,ST1741,17608,696,5185851,1,KL104,unknown (KL104),Typeable,O1/O2v2,O1ab,Typeable
FFKC_32KP.1,MBIRA,Tanzania,Eastern Africa,Site 9,neonate,2021,Klebsiella pneumoniae,ST1741,66868,175,5309104,1,KL104,unknown (KL104),Typeable,O1/O2v2,O1ab,Typeable
FFKC_33KP.1,MBIRA,Tanzania,Eastern Africa,Site 9,neonate,2021,Klebsiella pneumoniae,ST1741,72900,145,5322244,1,KL104,unknown (KL104),Typeable,O1/O2v2,O1ab,Typeable
FFKC_34KP.1,MBIRA,Tanzania,Eastern Africa,Site 9,neonate,2021,Klebsiella pneumoniae,ST1741,100987,123,5311686,1,KL104,unknown (KL104),Typeable,O1/O2v2,O1ab,Typeable
FFKC_43KP.1,MBIRA,Tanzania,Eastern Africa,Site 9,neonate,2021,Klebsiella pneumoniae,ST1741,66853,157,5319980,1,KL104,unknown (KL104),Typeable,O1/O2v2,O1ab,Typeable
FFKC_046KP.1,MBIRA,Tanzania,Eastern Africa,Site 9,neonate,2021,Klebsiella pneumoniae,ST1741,15043,741,5191733,1,KL104,unknown (KL104),Typeable,O1/O2v2,O1ab,Typeable
FFKC_44KP.1,MBIRA,Tanzania,Eastern Africa,Site 9,neonate,2021,Klebsiella pneumoniae,ST1741,59596,181,5315090,1,KL104,unknown (KL104),Typeable,O1/O2v2,O1ab,Typeable
FFKC_47KP.1,MBIRA,Tanzania,Eastern Africa,Site 9,neonate,2021,Klebsiella pneumoniae,ST1741,38052,329,5282042,1,KL104,unknown (KL104),Typeable,O1/O2v2,O1ab,Typeable
FFKC_48KP.1,MBIRA,Tanzania,Eastern Africa,Site 9,neonate,2021,Klebsiella pneumoniae,ST1741,32569,358,5262236,1,KL104,unknown (KL104),Typeable,O1/O2v2,O1ab,Typeable
FFKC_53KP.1,MBIRA,Tanzania,Eastern Africa,Site 9,neonate,2021,Klebsiella pneumoniae,ST1741,118996,105,5327132,1,KL104,unknown (KL104),Typeable,O1/O2v2,O1ab,Typeable
FFKC_54KP.1,MBIRA,Tanzania,Eastern Africa,Site 9,neonate,2021,Klebsiella pneumoniae,ST1741,70280,157,5322368,1,KL104,unknown (KL104),Typeable,O1/O2v2,O1ab,Typeable
FFKC_55KP.1,MBIRA,Tanzania,Eastern Africa,Site 9,neonate,2021,Klebsiella pneumoniae,ST1741,30547,408,5269300,1,KL104,unknown (KL104),Typeable,O1/O2v2,O1ab,Typeable
FFKC_56KP.1,MBIRA,Tanzania,Eastern Africa,Site 9,neonate,2021,Klebsiella pneumoniae,ST1741,47180,246,5302344,1,KL104,unknown (KL104),Typeable,O1/O2v2,O1ab,Typeable
FFKC_57KP.1,MBIRA,Tanzania,Eastern Africa,Site 9,neonate,2021,Klebsiella pneumoniae,ST1741,67503,139,5321869,1,KL104,unknown (KL104),Typeable,O1/O2v2,O1ab,Typeable
FFKC_101KP.1,MBIRA,Tanzania,Eastern Africa,Site 9,neonate,2021,Klebsiella pneumoniae,ST1741,32542,314,5286580,1,KL104,unknown (KL104),Typeable,O1/O2v2,O1ab,Typeable
FFKC_102KP.1,MBIRA,Tanzania,Eastern Africa,Site 9,neonate,2021,Klebsiella pneumoniae,ST1741,28205,417,5255977,1,KL104,unknown (KL104),Typeable,O1/O2v2,O1ab,Typeable
